,0,1,2
797,-0.175,0.2,0.3
798,-0.175,0.225,-0.2
799,-0.175,0.225,-0.175
800,-0.175,0.225,-0.15
801,-0.175,0.225,-0.125
802,-0.175,0.225,-0.1
803,-0.175,0.225,-0.075
804,-0.175,0.225,-0.05
805,-0.175,0.225,-0.025
806,-0.175,0.225,0
807,-0.175,0.225,0.025
808,-0.175,0.225,0.05
809,-0.175,0.225,0.075
810,-0.175,0.225,0.1
811,-0.175,0.225,0.125
812,-0.175,0.225,0.15
813,-0.175,0.225,0.175
814,-0.175,0.225,0.2
815,-0.175,0.225,0.225
816,-0.175,0.225,0.25
817,-0.175,0.225,0.275
818,-0.175,0.225,0.3
819,-0.175,0.25,-0.2
820,-0.175,0.25,-0.175
821,-0.175,0.25,-0.15
822,-0.175,0.25,-0.125
823,-0.175,0.25,-0.1
824,-0.175,0.25,-0.075
825,-0.175,0.25,-0.05
826,-0.175,0.25,-0.025
827,-0.175,0.25,0
828,-0.175,0.25,0.025
829,-0.175,0.25,0.05
830,-0.175,0.25,0.075
831,-0.175,0.25,0.1
832,-0.175,0.25,0.125
833,-0.175,0.25,0.15
834,-0.175,0.25,0.175
835,-0.175,0.25,0.2
836,-0.175,0.25,0.225
837,-0.175,0.25,0.25
838,-0.175,0.25,0.275
839,-0.175,0.25,0.3
840,-0.175,0.275,-0.2
841,-0.175,0.275,-0.175
842,-0.175,0.275,-0.15
843,-0.175,0.275,-0.125
844,-0.175,0.275,-0.1
845,-0.175,0.275,-0.075
846,-0.175,0.275,-0.05
847,-0.175,0.275,-0.025
848,-0.175,0.275,0
849,-0.175,0.275,0.025
850,-0.175,0.275,0.05
851,-0.175,0.275,0.075
852,-0.175,0.275,0.1
853,-0.175,0.275,0.125
854,-0.175,0.275,0.15
855,-0.175,0.275,0.175
856,-0.175,0.275,0.2
857,-0.175,0.275,0.225
858,-0.175,0.275,0.25
859,-0.175,0.275,0.275
860,-0.175,0.275,0.3
861,-0.175,0.3,-0.2
862,-0.175,0.3,-0.175
863,-0.175,0.3,-0.15
864,-0.175,0.3,-0.125
865,-0.175,0.3,-0.1
866,-0.175,0.3,-0.075
867,-0.175,0.3,-0.05
868,-0.175,0.3,-0.025
869,-0.175,0.3,0
870,-0.175,0.3,0.025
871,-0.175,0.3,0.05
872,-0.175,0.3,0.075
873,-0.175,0.3,0.1
874,-0.175,0.3,0.125
875,-0.175,0.3,0.15
876,-0.175,0.3,0.175
877,-0.175,0.3,0.2
878,-0.175,0.3,0.225
879,-0.175,0.3,0.25
880,-0.175,0.3,0.275
881,-0.175,0.3,0.3
882,-0.15,-0.2,-0.2
883,-0.15,-0.2,-0.175
884,-0.15,-0.2,-0.15
885,-0.15,-0.2,-0.125
886,-0.15,-0.2,-0.1
887,-0.15,-0.2,-0.075
888,-0.15,-0.2,-0.05
889,-0.15,-0.2,-0.025
890,-0.15,-0.2,0
891,-0.15,-0.2,0.025
892,-0.15,-0.2,0.05
893,-0.15,-0.2,0.075
894,-0.15,-0.2,0.1
